question_id,question_index,question,option_a,option_b,option_c,option_d,correct_answer,predicted_answer,is_correct,raw_response,timestamp,subject
f184a533-98b4-43ad-b1f5-70edc6704d9e,0,Heavy forces on periodontal ligament causes:,Hyalinization,Osteoclastic activity around tooth,Osteoblastic activity around tooth,Crest bone resorption,A,A,1,A,2025-06-08T08:58:32.247298,Dental
e38402c3-69bf-40a8-90c4-09277ca352eb,1,"In a	6-month-old child, thick curd like white	patch
appears on the buccal mucosa. On rubbing it leaves an
erythematous patch. Most likely diagnosis is:",Tuberculosis,Lichen planus,Lupus erythematous,Candidiasis,D,D,1,D,2025-06-08T08:58:34.020533,Dental
ac6be140-880b-40c6-9855-01f30c8dd7b2,2,"The source of calcium ions of a calcific bridge in a
tooth in which calcium hydroxide pulpotomy has been
performed is:",Blood vessel borne,Derided cells,Dentin,From the calcium hydroxide,A,A,1,A,2025-06-08T08:58:36.084787,Dental
8d2e7fe2-3354-44c2-8cdf-55ff23caaebb,3,Sharpest cusp is seen in,Upper Canine,Lower Canine,Upper Premolar,Lower premolar,A,A,1,A,2025-06-08T08:58:37.741799,Dental
8b9a0e04-4281-418a-aa94-7414a325732f,4,"In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as",Average,High,Incomplete,Low,D,A,0,A,2025-06-08T08:58:39.976508,Dental
7751b7ed-6aa4-4b9a-a03c-bb991a2936db,5,The current bar clasp design used is:,Mesio-occlusal rest,Disto-occlusal rest,Mesial or distal depending on the situation,Choice of the dentist,A,C,0,C,2025-06-08T08:58:41.944438,Dental
159339f1-1545-47f6-9aad-47c1282458b4,6,All of the following are true regarding Class-II inlay gingival margins preparation except?,Removal of week enamel rods,Increased metal burnishability,Lap sliding fit of metal margin,Margins of restoration in self-cleansable area,D,D,1,D,2025-06-08T08:58:43.788266,Dental
b6149b01-79a9-4d07-8cbc-828452b3906e,7,Breakdown of periodontal fibres in periodontitis is due to bacterial enzyme: (OR) Which of the following bacterial products have been implicated in initiation of inflammatory periodontal disease?,Collagenase,Hyaluronidase,Coagulase,None of the above,A,A,1,A,2025-06-08T08:58:45.502146,Dental
7b81cd07-3765-4f50-8b28-a88576f4223e,8,"A child's behaviour is traced to have dental difficulties
from	his	mother.	The	most	satisfactory	method	of
handling the situation is to:",Introduce another child as a good example,Modify his fear by familiarization,Use small amounts of barbiturates,Use firmness,B,B,1,B,2025-06-08T08:58:56.093482,Dental
98ae0eca-84e2-4b3c-95e3-2920fafef1e8,9,Multiple canals in mandibular premolars are seen in?,Africas,Caucians,Not Recalled,Not Recalled,A,A,1,A,2025-06-08T08:58:57.668526,Dental
5ce754b8-b358-4270-9bd1-8828700a19b1,10,Which of the following blade angle is appropriate for scaling and root planing,A,B,C,D,B,B,1,B,2025-06-08T08:58:59.464660,Dental
66b9ec80-bfe0-485a-89ae-42e666aab572,11,Cumulative index is:,Russet's periodontal index,Ramjford's periodontal index,PMA (Massler and Schlour),Gingival index (Loe and Silness),C,B,0,B,2025-06-08T08:59:01.891663,Dental
c2b29a6c-e501-4532-97ad-62934778db2a,12,Which of the following is a solid solution?,Amalgam,Cobalt-chromium,Silver-palladium,Gallium-silver,C,A,0,A,2025-06-08T08:59:03.493529,Dental
069b7516-54c4-4e5d-acf7-a7c92fdd2a01,13,The zygomatic bone does not articulate with:,Frontal bone,Maxillary bone,Nasal bone,Temporal bone,C,C,1,C,2025-06-08T08:59:05.546119,Dental
4b40c558-d6be-4683-ac70-b43beafccae3,14,"According to the intelligence quotient classification, a score of 90-110 is:",Low average.,Average,Superior,Mentally retarded.,B,B,1,B,2025-06-08T08:59:07.294002,Dental
