question_id,question,correct_option,predicted_answer,is_correct,response
f184a533-98b4-43ad-b1f5-70edc6704d9e,Heavy forces on periodontal ligament causes:,A,A,True,A
e38402c3-69bf-40a8-90c4-09277ca352eb,"In a	6-month-old child, thick curd like white	patch
appears on the buccal mucosa. On rubbing it leaves an
erythematous patch. Most likely diagnosis is:",D,D,True,D
ac6be140-880b-40c6-9855-01f30c8dd7b2,"The source of calcium ions of a calcific bridge in a
tooth in which calcium hydroxide pulpotomy has been
performed is:",A,D,False,D
8d2e7fe2-3354-44c2-8cdf-55ff23caaebb,Sharpest cusp is seen in,A,B,False,B
8b9a0e04-4281-418a-aa94-7414a325732f,"In a patient with competent lips together at rest, the lip
line is opposite the tips of the upper incisors. The lip line is then described as",D,A,False,A
7751b7ed-6aa4-4b9a-a03c-bb991a2936db,The current bar clasp design used is:,A,A,True,A
159339f1-1545-47f6-9aad-47c1282458b4,All of the following are true regarding Class-II inlay gingival margins preparation except?,D,D,True,D
b6149b01-79a9-4d07-8cbc-828452b3906e,Breakdown of periodontal fibres in periodontitis is due to bacterial enzyme: (OR) Which of the following bacterial products have been implicated in initiation of inflammatory periodontal disease?,A,A,True,A
7b81cd07-3765-4f50-8b28-a88576f4223e,"A child's behaviour is traced to have dental difficulties
from	his	mother.	The	most	satisfactory	method	of
handling the situation is to:",B,B,True,B
98ae0eca-84e2-4b3c-95e3-2920fafef1e8,Multiple canals in mandibular premolars are seen in?,A,B,False,B
5ce754b8-b358-4270-9bd1-8828700a19b1,Which of the following blade angle is appropriate for scaling and root planing,B,B,True,B
66b9ec80-bfe0-485a-89ae-42e666aab572,Cumulative index is:,C,C,True,C
c2b29a6c-e501-4532-97ad-62934778db2a,Which of the following is a solid solution?,C,B,False,B
069b7516-54c4-4e5d-acf7-a7c92fdd2a01,The zygomatic bone does not articulate with:,C,C,True,C
4b40c558-d6be-4683-ac70-b43beafccae3,"According to the intelligence quotient classification, a score of 90-110 is:",B,B,True,B
87d8663f-e0cd-4766-87b7-5312dfc4cd62,"Which of the following type of failure may occur, if the coefficient of thermal expansion of ceramic is much lower than that of metal?",B,B,True,B
685afed9-5dfa-4383-9001-50148cf6cb99,Anti monsoon curve seen in :,D,B,False,B
4a36bb7a-a19f-4aba-82b3-6cd35fc3cbc0,During periradicular surgery bone is removed with?,A,A,True,A
4f5f8f0f-7956-4d71-b7ad-d29b76eda55f,The primary function of the dental pulp is:,B,B,True,B
5878356e-0dc4-4d11-81fe-765d78c6b593,Reciprocal arm taper in,A,A,True,A
4710c6bb-67b6-47ab-85e1-7cac22bd35cf,Bluegrass appliance is used to treat:,C,C,True,C
92693be1-566d-490a-9ecb-bb5124769c74,On a primary 2nd molar caries occur most commonly on,A,A,True,A
729e5ae9-94b3-4aa0-be92-c64186ec1875,Incorporation of peripheral seal in an impression is necessary to obtain;,B,D,False,D
f719334e-ac98-46bf-8b44-89f71994e233,Modulus of elasticity means:,A,A,True,A
efa0e92a-b11b-4c1c-a97d-8b4409430caa,The resolution of IOPA is about:,B,B,True,B
18796d06-7762-4185-b0ca-c1b527502073,Which of the following is not true about stamp cusp?,C,D,False,D
29e07bd0-f864-4738-bdbc-491f1205287f,Sugar restricted to diet was beneficial in presence of unfavorable hygiene was from which study?,A,C,False,C
8798d2af-fc67-4463-9098-f105b3f4b458,"Alginate at 20 degrees, the gel is formed in",A,A,True,A
57d48689-dcbd-4e81-9ea9-d56b7f7eed2d,Percentage of carbon in carbon steel hand instruments is,A,C,False,C
4a3f261b-cfd0-40f2-bac2-1337f2937591,Pregnancy gingivitis is caused by:,A,A,True,A
8254c1c7-9f97-4dae-96f6-d44661ff36cf,What is the basis of behavior shaping:,A,A,True,A
5988b3d1-c438-4d16-a887-979dac8bbd10,Shortest root of maxillary 1st molar,A,A,True,A
b12749bc-ed37-4f12-9d45-029e1a0916b0,"Which of the following constituents is common in occlusal sealants, bonding agents, composite resins?",A,A,True,A
dd210467-68c5-4566-9cad-34e5ffa22bc9,Which primary tooth resemble premolar,A,D,False,D
631db9fb-f930-40f3-a867-273597e5c7f9,Pre-carve burnishing is useful for all except:,B,A,False,A
59f75254-2953-45a6-9c9a-61dd9a4dc537,"Which of the following is used as, surface hardener in Impression material?",A,A,True,A
8dd6630c-194f-4a21-a6a3-1a41f97dcd66,A 59-year-old female presents with gingival condition punched out crater-like depression covered with membrane which can be pulled off painlessly?,C,C,True,C
723bd8c7-6da8-4897-8a1b-dd87891f24a7,Bartholins duct is the name of :,C,C,True,C
70097b1a-1f7a-4c04-ba9e-2f1489f0fb11,"The number of dental caries cases reported during last 10 years are given below 250, 320, 190, 300, 5000, 100, 260, 350, 320 and 160. The epidemiologist wants to find out average number of caries case...",C,C,True,C
76ba3417-012e-4bf8-840c-13bb7bc60dcc,Teeth that erupt in 30 days of birth,A,A,True,A
f4e1dbce-eb9d-441c-9e1a-6f81ae207faf,The soft tissue tooth interface that forms after flap surgery in a previously denuded area is,A,A,True,A
ec25740a-5cbb-4b80-9d07-332c2734f5a7,The test done for a statistically significant change in cholesterol values in a group of patients following an interventional programme is:,B,B,True,B
d282f15c-2838-42fd-8841-a94bd92981d9,Guiding planes are:,A,C,False,C
9823097b-b309-4de3-9a14-d93ff757fd5f,Reflex which never disappear:,D,C,False,C
8105a0cd-88aa-4c17-9535-7a864b445264,Gutta Percha can effectively be sterilized by?,B,B,True,B
58d38c9d-0440-4077-a581-e86b63ec4ecd,This direction of force can cause:,C,C,True,C
e8f48ed7-e417-422a-acde-9f7cb2c25416,Impression compound is characterized by all the following except:,B,B,True,B
db9a6989-4a10-421f-9808-ca852c6f64e6,What is common in class I cavity preparation for amalgam and gold inlay?,B,A,False,A
153cdf4a-8f6c-4478-8af5-2ef9d7a111b2,Periodontal surgery is best performed,A,A,True,A
8c968c9b-35b1-4394-959a-fe3c80e283e5,Rooting reflex also known as search reflex disappears:,C,C,True,C
58194611-8ffd-4405-83b2-f8e5798b095d,"All these are Included In active tissue engineering, except",D,D,True,D
b0851fb1-a52d-49f5-bfd3-ae48a58c060a,Which of the following type of tongue thrusting has the worst prognosis?,C,B,False,B
3419bb2a-2a24-4ddc-b217-ee00b981afeb,Optimal location for intra osseous anesthesia for mandibular second molars is,B,C,False,C
11efa366-1d2d-48a8-a247-a362a0447140,"After cleaning and pumicing the tooth surface, plaque formation takes place within",B,A,False,A
c5b472d1-468e-437e-97fc-9b1c2411af53,"What we will define it ""ratio of no. of death under 1 year of age to total live birth per 1000 live births per year""?",A,A,True,A
e4610f09-b587-47c8-99ff-c8967f481322,"The necrotising pressure areas, undergoing bone resorption and endosteal bone formation",B,B,True,B
e1eb342e-fe1e-49b1-a9d7-f8400b419aa6,Pre-maturity in edge to edge position is relieved by reducing:,A,D,False,D
73818dbb-2bd3-4c46-a06a-b18b6ddb5450,"According to WHO classiﬁcation of periapical pathology, sinus to oral cavity comes  under:",D,D,True,D
6eb7d429-53f8-4d51-b861-81ab063b0973,Resin teeth:,D,C,False,C
362a094c-f1d9-4faa-97ab-48242be3dd4b,Zone of stimulation contains all except:,B,D,False,D
00667233-3ef5-4759-bac2-850f41c6cdfc,Minimum number of lobes require to form a tooth,A,B,False,B
e6b676f8-26ba-42f6-9bd2-739abf1c039a,In the odontoblastic layer the following connections is/are found,D,D,True,D
0ada062a-c400-4012-af5e-31144ba41401,Scammon's growth curve. False is,C,C,True,C
32cf44b6-600a-4ea1-ab8a-15696485643e,Most common extraradicular microorganism is/ are:,D,A,False,A
b21a38b8-c966-425a-a140-9ff775745931,Least condensation pressure is required in:,A,A,True,A
769b87a2-ecb8-4508-82d5-4fde94fa7f60,A child spends 8 years of life in a temperate climate where the drinking water had fluoride of 3 ppm. The teeth that are effected are:,B,B,True,B
2cc9a274-380c-4a8e-b2b6-6c8ae412c55b,The ideal instrument that is used to widen the canal is,B,D,False,D
1d7028cb-08b7-422e-8feb-26392e8f97dc,"According to instrument formula given by G.V. Black, primary cutting edge angle should be:",A,D,False,D
71166b66-1d91-490c-8bf2-ff1a44fc6ba5,Which of the following is not true for incubation period?,A,D,False,D
9663a6e9-55d1-4a7e-8af9-556a6478688d,Treatment of ANUG utilizes all except:,D,D,True,D
e9adae98-f03e-4451-bd05-750e85d15ca2,Pulp proper contains,D,D,True,D
79c95aee-a0ff-4f7a-8a3f-2228f0ca66ce,"Which of the following is used as a bio-degradable membrane in ""guided tissue regeneration"" process?",A,A,True,A
58d83508-8ad5-4137-a215-d6b084f49e3c,Bone sounding done in modern times is performed by which method?,C,B,False,B
d384e3c5-1ec0-4c7d-b7c2-ec9fd223f3e3,Jaw or tooth apart swallow is:,A,A,True,A
d4e13d7b-8ca9-447e-b93d-e8b86afd017a,Classify the class of recession:,C,A,False,A
5bc29ae1-a1a8-4c3b-a11e-e469be9f0640,Which is not a type of Gracey curvettes?,D,D,True,D
1359605e-c8e4-4847-b8b6-eb1500b5356f,Which ion of hydroxyapatite crystals is substituted by Fluoride imparts more strength?,A,A,True,A
51baa169-5c84-4d0e-94fb-d21279cea570,Cleaning of base metal alloy is done by,D,D,True,D
951a385e-d512-4613-a822-443f1f429ab9,Who was associated with second amalgam war?,D,D,True,D
a4260f2f-ca39-4778-90a9-87064c39a11c,"In Mount and Hume classification, what will be the site size of the following lesion?",C,C,True,C
2e264a60-ba19-4880-bc92-5c42c121eee8,Extraction of 3rd molar tooth bud in 7-9 yr old child:,D,D,True,D
ef09a789-e189-42dc-a0fb-70da2c5ca170,The best finish line for anterior metal ceramic crown is,D,D,True,D
01731260-fa5c-45ae-bbf3-5aed1b1cb9b9,Which of the following are the predominant connective tissue cells of the periodontal Ligament?,B,B,True,B
54d61676-f03f-4c52-a706-26481e10ec98,One of the most common side effects of phenytoin is,A,A,True,A
39ddbf97-8946-4e0b-9236-156755b4b31f,Freedom of centric relation correlates with,C,C,True,C
aff4bd90-ab90-45b7-8ef7-2b02c25da7ad,School based dental health care for whole country is adopted by which of the following country?,B,B,True,B
3146c248-2dd4-4888-99c9-bafda2fa1ec7,Ashley-Howe model analysis is used to predict:,C,A,False,A
